,Rebal,NoRebal
2014-04-30,202037.9867975416,202037.9867975416
2014-05-31,205289.29266663975,205289.29266663975
2014-06-30,204435.1184956333,204435.1184956333
2014-07-31,202073.8266117373,202073.8266117373
2014-08-31,203787.0885975489,203787.0885975489
2014-09-30,220194.35273816617,200390.5474548548
2014-10-31,223552.85517245272,203401.01423521483
2014-11-30,230447.76728966407,209250.77846436345
2014-12-31,223390.12047139037,202705.13662180706
2015-01-31,247206.47549695394,225242.75744973915
2015-02-28,250897.73962297273,227978.78769791574
2015-03-31,272103.1668063317,228424.91711233923
2015-04-30,263940.5527641482,222175.48366856505
2015-05-31,272449.5190701491,229173.6311051208
2015-06-30,261970.63794695883,219957.44848021952
2015-07-31,280689.57809073356,236461.06050062046
2015-08-31,267566.3743720227,226029.11312129683
2015-09-30,279130.9049576354,219186.70392839154
2015-10-31,297786.3344386823,234190.450006349
2015-11-30,300118.5973723627,235874.36645402876
2015-12-31,312218.15152664983,246719.55868637923
2016-01-31,312506.4353073949,248440.15972939864
2016-02-29,302032.3978942475,240326.3434494313
2016-03-31,332726.8655165009,247596.87244335006
2016-04-30,312105.5850876945,233273.16941384145
2016-05-31,323248.6015771431,242720.68874954613
2016-06-30,331938.02487582754,247848.03861774463
2016-07-31,343909.6700306642,258798.47401315486
2016-08-31,336279.70632513834,253949.40280070962
2016-09-30,361319.4533672604,257815.09602446822
2016-10-31,347163.4382463602,248538.45535032218
2016-11-30,316791.2729190397,227903.1641974021
2016-12-31,320209.3415174926,231104.09317471064
2017-01-31,318721.13215445325,230092.2098260019
2017-02-28,331513.7057606821,238291.53659945168
2017-03-31,366925.201083847,251799.65754955134
2017-04-30,382752.0716599719,263128.1422939348
2017-05-31,390728.4335990684,270048.1847815406
2017-06-30,376889.61689750117,259731.0052826582
2017-07-31,366279.06756239024,251524.17096356707
2017-08-31,382602.24897868687,264640.8571183291
2017-09-30,399407.4088416577,260357.69769107917
2017-10-31,416131.41496452125,271472.6678948109
2017-11-30,418175.8410331481,272163.01245470427
2017-12-31,419057.2127438859,273177.8756143772
2018-01-31,431418.9125823278,281689.0446897129
2018-02-28,430242.7059019441,283061.42311951495
2018-03-31,454511.44669834216,286295.0289502704
2018-04-30,456735.29145327304,288376.6804181555
2018-05-31,473853.45447332825,300856.7362255845
2018-06-30,486113.60814509436,309177.8876365563
2018-07-31,478615.54234207736,303705.98392089136
2018-08-31,486414.35532560886,308951.2735304992
2018-09-30,492232.72329090827,299974.8737635378
2018-10-31,467008.03380904964,284295.6234321369
2018-11-30,471161.8984712542,288885.63128260354
2018-12-31,463111.0975358248,284474.92349135154
2019-01-31,480328.0705260354,294627.0327777053
2019-02-28,482515.38633965445,295389.54359412985
2019-03-31,531530.926454404,313058.8403593606
2019-04-30,537896.4803929821,316294.14505139145
2019-05-31,525052.232610783,309598.35134987324
